order_id,order_date,customer_id,order_amount,category,item_count,discount_pct,payment_method,is_new_customer,customer_prior_return_rate,days_since_signup,delivery_pincode_risk_tier,size_flag,review_score_avg,was_returned
5d97bb5e-c15f-4f13-90eb-30a182b13103,2026-01-01,cust_000001,839.4,apparel,5,13.3,netbanking,True,,12,low,True,4.05,True
56826652-d8bb-42fa-bcca-67a147490b29,2026-01-01,cust_000039,1780.62,apparel,2,17.0,UPI,True,,11,high,True,4.57,True
3d9e79c5-39f0-41d3-acf2-b3ad965c4d75,2026-01-01,cust_000005,544.92,apparel,2,21.1,COD,True,,6,high,True,4.23,True
c6621223-2a50-4ad9-b007-93a2eab084df,2026-01-01,cust_000856,1427.69,apparel,3,34.4,netbanking,True,,22,low,True,3.73,True
1a123cbd-8ab5-4888-afd9-fde39f7c07ba,2026-01-01,cust_000000,2175.24,apparel,3,7.0,netbanking,False,0.2844342615500907,693,low,True,4.71,False
15e2527d-3918-4186-b4e6-6ba3eefe9b6b,2026-01-01,cust_000001,1090.85,apparel,6,17.8,COD,False,0.17412196618715187,613,high,True,4.37,True
7dfb104c-e7ea-4c21-a59f-e3aa644bf8cb,2026-01-01,cust_000094,1112.76,footwear,6,24.0,card,True,,12,low,True,4.07,False
434108df-6a75-4a9f-a464-de71616d1e06,2026-01-01,cust_000007,913.88,apparel,1,24.6,card,True,,14,low,True,4.87,False
44378288-9142-4e4f-95fb-f4c912af743a,2026-01-01,cust_000017,445.16,apparel,2,14.0,COD,True,,15,low,True,4.4,False
3d7fd8e8-e3f7-4036-b39d-59de2abd0349,2026-01-01,cust_001536,3470.46,apparel,3,30.0,UPI,True,,26,low,True,4.75,False
95d4bae3-71ba-4345-970f-7c337023e575,2026-01-01,cust_001980,705.64,home,1,34.7,UPI,True,,0,low,False,4.44,True
bef74b09-ad11-4c25-958c-f9d31ee5262c,2026-01-01,cust_000060,907.23,footwear,4,26.4,UPI,True,,11,medium,True,4.63,True
de835e79-106b-41d0-8dc7-ebd7960e88b4,2026-01-01,cust_000000,1674.43,home,1,24.7,COD,True,,8,medium,False,2.63,False
69c8d838-8cfa-49a3-8cf8-fe18db44da1a,2026-01-01,cust_000003,1019.09,footwear,3,39.5,UPI,True,,11,high,True,4.15,True
d5d74a8d-3dc7-401d-90bd-e20573933d56,2026-01-01,cust_000021,1118.69,footwear,6,0.5,UPI,True,,20,medium,True,4.21,False
160435b9-dd05-49d4-9a77-c63d045a5a92,2026-01-01,cust_000288,1304.83,footwear,3,11.9,card,True,,11,low,True,4.62,True
8a519783-4525-4099-8d0b-b085ee6caaa7,2026-01-01,cust_000959,1432.89,electronics,4,33.2,COD,True,,10,low,False,3.56,False
6df36827-0d80-4269-a16c-1cfc14e6df50,2026-01-01,cust_000275,2067.88,apparel,2,45.6,COD,True,,12,low,True,3.65,False
bb7c09b5-9484-4e13-adda-989124365d8e,2026-01-01,cust_000768,734.24,footwear,2,10.1,card,True,,13,low,True,4.15,True
998539ed-d1b7-4d8c-aaac-c7edfee44958,2026-01-01,cust_000131,1222.46,electronics,3,22.2,UPI,True,,0,medium,False,4.68,False
02c2f57c-fe6b-44fd-9179-690b6aa49f33,2026-01-01,cust_000001,1482.46,home,5,18.3,UPI,False,0.3081594547684413,281,low,False,4.75,False
81e80091-fb55-48b6-b6b4-e27d702a5f5c,2026-01-01,cust_000011,842.17,footwear,5,28.6,card,True,,4,high,True,4.67,True
3955dd65-3a74-4c88-ba88-3d7d8701454f,2026-01-01,cust_000675,491.78,electronics,5,34.4,netbanking,True,,22,high,False,3.84,False
68b5349e-938f-4d24-8ced-6269bc819a2b,2026-01-01,cust_000035,624.18,apparel,3,29.7,UPI,True,,14,low,True,4.45,False
89768e38-7706-4ee6-90f5-64ed00b8f556,2026-01-02,cust_000003,322.06,home,3,15.1,card,False,0.3004594249502151,323,low,False,2.95,False
2ff8d0c1-5713-448f-918a-cec441018fa2,2026-01-02,cust_000081,1478.98,beauty,1,28.1,COD,True,,4,low,False,3.54,True
f779c6e6-8002-4eac-a0a8-f246ef86dac9,2026-01-02,cust_000038,392.24,apparel,3,4.2,UPI,True,,0,high,True,4.15,True
904e75f7-2570-4841-8666-31b47381dfc4,2026-01-02,cust_001943,1896.2,apparel,4,13.5,card,True,,20,low,True,4.13,False
e55b0c02-c100-44a4-8076-49456b8a4d27,2026-01-02,cust_000760,747.96,electronics,6,28.1,UPI,True,,26,low,False,4.72,False
42556a9d-7014-427f-9976-2a2a90e5956a,2026-01-02,cust_000407,1779.7,electronics,6,18.4,UPI,True,,27,low,False,4.45,False
5e0e604a-a59c-47fa-9c2c-ec61659d76f9,2026-01-02,cust_000075,1315.09,home,4,21.2,COD,True,,8,medium,False,3.74,False
fa130c21-2390-4b7e-9309-4b829f96a6b0,2026-01-02,cust_000004,1602.58,beauty,1,28.5,card,False,0.39097141114745027,581,medium,False,4.31,False
32604970-02b1-43a5-becd-41ad71fb1cb9,2026-01-02,cust_000953,930.44,apparel,6,48.9,card,True,,10,low,True,3.05,False
c916e114-e4c3-44c0-821d-5a87c51e7d9f,2026-01-02,cust_000000,1670.05,beauty,3,17.0,card,False,0.17591720157988727,514,high,False,3.63,True
fede9a71-eeae-4990-b0cd-6a77d06ca8ab,2026-01-02,cust_000016,918.92,beauty,3,27.7,UPI,True,,1,medium,False,3.49,True
6ea7d455-ad15-4eed-9068-6628f18d8dd1,2026-01-02,cust_002473,1086.42,apparel,6,17.7,card,True,,11,low,True,4.15,True
